Public Opinion,Past Use,Religion,Sex,Age,Education,Race,Income,Party Affiliation,Household Size,State,Eventually Legalized
medicinal,No,Roman Catholic (Catholic),Female,40,Postgraduate Degree,Asian or Asian-American,"75 to under $100,000",Independent,4,New Jersey,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,65,Postgraduate Degree,White,"$150,000 or more",Democrat,2,Ohio,"Yes, it will"
medicinal,No,Nothing in particular,Female,51,Four year college,White,"75 to under $100,000",Independent,2,Indiana,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,49,Four year college,White,"20 to under $30,000",Republican,3,Tennessee,"No, it will not"
medicinal,No,Nothing in particular,Female,62,Some College,White,"10 to under $20,000",Democrat,1,New York,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,69,Associate Degree,White,"30 to under $40,000",Republican,2,Florida,"Yes, it will"
personal,No,Nothing in particular,Female,71,Associate Degree,Black or African-American,"10 to under $20,000",Democrat,1,Ohio,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,64,HS,White,"75 to under $100,000",Republican,2,New York,"No, it will not"
medicinal,Yes,Nothing in particular,Male,50,HS,White,"50 to under $75,000",Independent,2,Pennsylvania,"Yes, it will"
personal,No,Nothing in particular,Male,54,Four year college,Black or African-American,"$150,000 or more",Independent,4,New York,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,47,HS,White,"10 to under $20,000",Democrat,3,Kentucky,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,82,Four year college,White,"75 to under $100,000",Republican,2,Georgia,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,79,Some College,White,"40 to under $50,000",Republican,1,Florida,"Yes, it will"
notlegal,No,Nothing in particular,Male,61,Postgraduate Degree,Asian or Asian-American,"75 to under $100,000",Independent,4,South Carolina,"No, it will not"
medicinal,No,Roman Catholic (Catholic),Female,76,HS,White,"10 to under $20,000",No preference (VOL.),1,New York,"No, it will not"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,48,Four year college,White,"75 to under $100,000",Republican,2,Iowa,"No, it will not"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,55,Associate Degree,White,"$150,000 or more",Independent,3,Texas,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,53,Postgraduate Degree,Asian or Asian-American,"100 to under $150,000",Democrat,3,Colorado,"Yes, it will"
personal,Yes,Christian (VOL.),Female,45,Four year college,White,"50 to under $75,000",Republican,4,California,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,53,HS,White,"20 to under $30,000",Independent,3,Florida,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,50,Postgraduate Degree,White,"100 to under $150,000",Independent,4,Colorado,"No, it will not"
personal,No,Muslim (Islam),Female,67,Some College,Black or African-American,"75 to under $100,000",Democrat,2,Massachusetts,"No, it will not"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,77,Associate Degree,White,"20 to under $30,000",Independent,2,Georgia,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,53,Postgraduate Degree,White,"40 to under $50,000",Republican,1,Michigan,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,49,Postgraduate Degree,White,"75 to under $100,000",Independent,3,Indiana,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,72,Postgraduate Degree,White,"75 to under $100,000",Democrat,2,Texas,"Yes, it will"
personal,Yes,Nothing in particular,Female,69,Some College,White,"30 to under $40,000",Democrat,1,Massachusetts,"No, it will not"
personal,Yes,Nothing in particular,Female,47,HS,White,"30 to under $40,000",Republican,3,Missouri,"Yes, it will"
notlegal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,78,Postgraduate Degree,White,"$150,000 or more",Independent,2,New Jersey,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,59,HS,White,"50 to under $75,000",Independent,2,Massachusetts,"Yes, it will"
notlegal,No,"Orthodox (Greek, Russian, or some other orthodox church)",Female,79,HS,White,"20 to under $30,000",Republican,1,New York,"Yes, it will"
personal,Yes,Nothing in particular,Male,25,Associate Degree,White,"10 to under $20,000",Democrat,1,Florida,"Yes, it will"
medicinal,Yes,Nothing in particular,Female,73,Associate Degree,Black or African-American,"20 to under $30,000",Democrat,1,California,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,49,Associate Degree,Black or African-American,"Less than $10,000",Democrat,4,Virginia,"No, it will not"
personal,No,Nothing in particular,Male,54,Postgraduate Degree,White,"$150,000 or more",Democrat,2,South Carolina,"No, it will not"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,77,Associate Degree,White,"40 to under $50,000",Democrat,3,Colorado,"No, it will not"
medicinal,No,Roman Catholic (Catholic),Male,70,HS,White,"20 to under $30,000",Democrat,1,Pennsylvania,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,57,Postgraduate Degree,Black or African-American,"50 to under $75,000",Democrat,3,Missouri,"Yes, it will"
personal,No,Atheist (do not believe in God),Male,29,HS,White,"20 to under $30,000",Democrat,2,West Virginia,"Yes, it will"
medicinal,No,Christian (VOL.),Female,58,Four year college,White,"20 to under $30,000",Independent,1,Minnesota,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,53,HS,White,"100 to under $150,000",Republican,2,Louisiana,"Yes, it will"
notlegal,Yes,Agnostic (not sure if there is a God),Male,27,Four year college,White,"10 to under $20,000",Independent,2,Michigan,"No, it will not"
personal,Yes,Nothing in particular,Female,39,Four year college,White,"20 to under $30,000",Independent,3,Virginia,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,75,HS,White,"30 to under $40,000",Independent,3,Massachusetts,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,48,Four year college,White,"75 to under $100,000",Republican,6,Ohio,"Yes, it will"
personal,Yes,Jewish (Judaism),Female,35,Four year college,White,"$150,000 or more",Democrat,3,New York,"No, it will not"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,74,HS,White,"100 to under $150,000",Democrat,2,Texas,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Male,23,Associate Degree,White,"20 to under $30,000",Democrat,4,Florida,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,35,Some Postgraduate,White,"Less than $10,000",Democrat,3,Kansas,"Yes, it will"
medicinal,No,Nothing in particular,Male,62,Less than HS,Hispanic or Latino,"20 to under $30,000",Democrat,2,Texas,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,21,Some College,White,"50 to under $75,000",Democrat,6,Connecticut,"Yes, it will"
notlegal,No,Roman Catholic (Catholic),Male,70,Some College,White,"50 to under $75,000",Independent,1,Arkansas,"Yes, it will"
medicinal,No,Christian (VOL.),Male,30,HS Incomplete,Hispanic or Latino,"20 to under $30,000",Independent,4,Wisconsin,"No, it will not"
notlegal,No,Hindu,Male,29,Postgraduate Degree,Asian or Asian-American,"50 to under $75,000",No preference (VOL.),2,Texas,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,30,Some College,White,"75 to under $100,000",Republican,3,Wisconsin,"Yes, it will"
personal,Yes,Christian (VOL.),Male,31,Some College,Black or African-American,"30 to under $40,000",Democrat,4,Texas,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,18,HS,White,"$150,000 or more",Republican,6,Alabama,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,36,HS,Black or African-American,"10 to under $20,000",Democrat,4,Michigan,"No, it will not"
personal,Yes,Christian (VOL.),Male,54,Associate Degree,White,"Less than $10,000",Republican,1,Louisiana,"Yes, it will"
medicinal,No,Nothing in particular,Female,59,HS,White,"10 to under $20,000",Democrat,2,Florida,"Yes, it will"
personal,Yes,Jewish (Judaism),Female,32,Some College,White,"20 to under $30,000",Independent,2,Illinois,"Yes, it will"
personal,No,Atheist (do not believe in God),Female,19,Some College,White,"50 to under $75,000",Independent,2,Ohio,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,47,HS,Black or African-American,"Less than $10,000",Democrat,4,Louisiana,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,43,Some College,White,"100 to under $150,000",Republican,4,Oklahoma,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,22,HS,White,"Less than $10,000",Independent,7,Alabama,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,64,HS,White,"50 to under $75,000",Republican,3,Alabama,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,68,Some College,White,"Less than $10,000",Republican,1,Oklahoma,"No, it will not"
medicinal,No,Nothing in particular,Male,60,Some College,White,"20 to under $30,000",Democrat,1,Illinois,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,20,Some College,Black or African-American,"$150,000 or more",Independent,3,Texas,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,76,HS Incomplete,White,"10 to under $20,000",Republican,2,South Carolina,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,20,HS,Black or African-American,"50 to under $75,000",Democrat,2,Alabama,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,55,Associate Degree,Black or African-American,"20 to under $30,000",Democrat,1,Texas,"No, it will not"
notlegal,No,Christian (VOL.),Female,24,Some College,White,"10 to under $20,000",No preference (VOL.),4,Georgia,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Male,50,Postgraduate Degree,White,"$150,000 or more",Republican,5,Alabama,"No, it will not"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,55,Postgraduate Degree,Black or African-American,"20 to under $30,000",Democrat,3,New York,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,69,HS Incomplete,Black or African-American,"Less than $10,000",Democrat,1,Michigan,"Yes, it will"
notlegal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,74,HS,White,"10 to under $20,000",Independent,1,Pennsylvania,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,59,HS,White,"20 to under $30,000",Democrat,2,North Carolina,"No, it will not"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,43,Associate Degree,White,"75 to under $100,000",Republican,4,South Dakota,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,39,Some College,White,"20 to under $30,000",Democrat,5,South Dakota,"No, it will not"
personal,No,Roman Catholic (Catholic),Male,29,Associate Degree,White,"20 to under $30,000",Democrat,4,New Mexico,"Yes, it will"
notlegal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,39,Some College,White,"Less than $10,000",Independent,2,Illinois,"Yes, it will"
personal,No,Jewish (Judaism),Male,62,Postgraduate Degree,White,"100 to under $150,000",Democrat,4,Illinois,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,50,HS,Black or African-American,"Less than $10,000",Independent,5,Texas,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,19,Associate Degree,Black or African-American,"30 to under $40,000",Republican,2,South Carolina,"No, it will not"
personal,Yes,Unitarian (Universalist) (VOL.),Male,51,Postgraduate Degree,White,"50 to under $75,000",Democrat,3,Pennsylvania,"Yes, it will"
medicinal,Yes,Christian (VOL.),Male,31,Associate Degree,White,"100 to under $150,000",Independent,3,New Mexico,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,80,Some Postgraduate,White,"100 to under $150,000",Independent,2,Tennessee,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,60,Postgraduate Degree,White,"$150,000 or more",Republican,2,Maryland,"Yes, it will"
personal,No,Christian (VOL.),Male,36,Associate Degree,White,"50 to under $75,000",Democrat,3,Kentucky,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Male,35,Postgraduate Degree,White,"75 to under $100,000",Republican,4,Montana,"Yes, it will"
personal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Male,23,Associate Degree,Hispanic or Latino,"10 to under $20,000",Republican,4,Utah,"Yes, it will"
personal,No,Atheist (do not believe in God),Male,26,HS,White,"50 to under $75,000",Independent,3,Utah,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,27,HS Incomplete,Black or African-American,"10 to under $20,000",Democrat,5,Texas,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,39,HS,Hispanic or Latino,"10 to under $20,000",Independent,3,Colorado,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Male,21,Some College,White,"40 to under $50,000",Democrat,4,Connecticut,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Female,50,Four year college,Native American,"50 to under $75,000",Democrat,2,New Mexico,"Yes, it will"
personal,Yes,Christian (VOL.),Female,35,HS,White,"50 to under $75,000",Democrat,3,Kentucky,"No, it will not"
personal,Yes,Roman Catholic (Catholic),Male,24,HS,White,"100 to under $150,000",Republican,2,Pennsylvania,"Yes, it will"
notlegal,No,Christian (VOL.),Male,31,HS,Native American,"50 to under $75,000",Independent,5,Missouri,"Yes, it will"
personal,Yes,Nothing in particular,Male,70,Some College,White,"10 to under $20,000",Democrat,1,Wisconsin,"Yes, it will"
medicinal,Yes,Nothing in particular,Female,23,Associate Degree,White,"10 to under $20,000",No preference (VOL.),2,Virginia,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,63,Postgraduate Degree,White,"$150,000 or more",Democrat,2,New York,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,18,HS,White,"Less than $10,000",Independent,4,Alabama,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Male,72,Postgraduate Degree,White,"50 to under $75,000",Independent,2,Pennsylvania,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,28,Postgraduate Degree,White,"75 to under $100,000",Independent,2,Virginia,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,32,Some College,White,"30 to under $40,000",Democrat,8,Missouri,"Yes, it will"
personal,No,Christian (VOL.),Male,55,Associate Degree,White,"$150,000 or more",Republican,2,Florida,"Yes, it will"
personal,No,Christian (VOL.),Female,24,Four year college,Black or African-American,"20 to under $30,000",Democrat,1,Texas,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Female,36,HS Incomplete,Black or African-American,"Less than $10,000",No preference (VOL.),5,Louisiana,"Yes, it will"
personal,Yes,Christian (VOL.),Female,29,Associate Degree,Black or African-American,"20 to under $30,000",Democrat,2,New Jersey,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,21,Some College,White,"75 to under $100,000",Republican,1,Georgia,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,31,Associate Degree,White,"50 to under $75,000",Independent,4,Arkansas,"Yes, it will"
personal,Yes,Atheist (do not believe in God),Female,51,Postgraduate Degree,White,"$150,000 or more",Republican,5,Wisconsin,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Female,21,Some College,Asian or Asian-American,"40 to under $50,000",Independent,4,Florida,"Yes, it will"
personal,Yes,Agnostic (not sure if there is a God),Male,27,Some College,White,"20 to under $30,000",Independent,1,Kentucky,"Yes, it will"
medicinal,Yes,Nothing in particular,Female,44,Some College,White,"50 to under $75,000",Republican,4,Indiana,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,57,HS Incomplete,White,"20 to under $30,000",Independent,6,Georgia,"Yes, it will"
personal,No,Roman Catholic (Catholic),Male,20,Some College,Hispanic or Latino,"20 to under $30,000",Independent,5,North Carolina,"No, it will not"
medicinal,No,Atheist (do not believe in God),Female,27,Postgraduate Degree,White,"Less than $10,000",Democrat,3,Virginia,"Yes, it will"
medicinal,Yes,Agnostic (not sure if there is a God),Male,21,Some College,White,"10 to under $20,000",Democrat,1,Kentucky,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,50,HS Incomplete,White,"20 to under $30,000",Democrat,2,Kentucky,"Yes, it will"
personal,Yes,Nothing in particular,Male,22,Associate Degree,White,"10 to under $20,000",Democrat,4,Connecticut,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,63,HS,White,"30 to under $40,000",Democrat,2,Ohio,"Yes, it will"
personal,No,Agnostic (not sure if there is a God),Male,46,Four year college,White,"100 to under $150,000",No preference (VOL.),4,Georgia,"Yes, it will"
personal,Yes,Jewish (Judaism),Male,43,Four year college,White,"$150,000 or more",Democrat,4,Oklahoma,"Yes, it will"
personal,Yes,Nothing in particular,Male,35,Postgraduate Degree,White,"75 to under $100,000",Democrat,2,California,"No, it will not"
notlegal,Yes,Roman Catholic (Catholic),Male,20,Some College,White,"75 to under $100,000",Democrat,4,Florida,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Female,63,Postgraduate Degree,White,"100 to under $150,000",Democrat,2,Arizona,"Yes, it will"
personal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,46,Four year college,White,"40 to under $50,000",Democrat,2,Florida,"Yes, it will"
personal,Yes,Roman Catholic (Catholic),Male,49,HS,White,"75 to under $100,000",Democrat,5,New Jersey,"Yes, it will"
medicinal,No,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),Female,24,Some College,White,"Less than $10,000",Republican,6,Arizona,"Yes, it will"
medicinal,No,Roman Catholic (Catholic),Male,25,HS,Hispanic or Latino,"30 to under $40,000",Democrat,6,North Carolina,"Yes, it will"
personal,Yes,Atheist (do not believe in God),Male,23,HS,White,"$150,000 or more",Independent,4,New Mexico,"Yes, it will"
personal,No,Roman Catholic (Catholic),Male,24,Some College,Hispanic or Latino,"Less than $10,000",Republican,3,New Mexico,"Yes, it will"
medicinal,Yes,Nothing in particular,Male,31,Associate Degree,Black or African-American,"20 to under $30,000",Independent,3,Virginia,"No, it will not"
medicinal,No,Roman Catholic (Catholic),Female,79,HS,White,"30 to under $40,000",Democrat,1,Florida,"No, it will not"
personal,Yes,Nothing in particular,Male,33,Four year college,White,"100 to under $150,000",Democrat,3,Colorado,"Yes, it will"
medicinal,Yes,Christian (VOL.),Male,59,Associate Degree,Black or African-American,"50 to under $75,000",Democrat,1,Florida,"Yes, it will"
personal,Yes,Nothing in particular,Male,24,Associate Degree,Black or African-American,"$150,000 or more",Independent,5,Pennsylvania,"Yes, it will"
medicinal,No,Christian (VOL.),Male,23,Four year college,Black or African-American,"Less than $10,000",Democrat,4,Georgia,"No, it will not"
personal,Yes,Christian (VOL.),Male,22,HS,Black or African-American,"20 to under $30,000",Democrat,3,New Jersey,"No, it will not"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,30,Postgraduate Degree,White,"40 to under $50,000",Independent,6,New York,"Yes, it will"
personal,No,Roman Catholic (Catholic),Female,45,Postgraduate Degree,White,"$150,000 or more",Independent,4,Indiana,"Yes, it will"
medicinal,Yes,Roman Catholic (Catholic),Male,33,HS,Hispanic or Latino,"50 to under $75,000",Democrat,2,Florida,"Yes, it will"
personal,Yes,Jewish (Judaism),Female,54,Four year college,White,"100 to under $150,000",Democrat,4,Virginia,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,26,HS,Black or African-American,"10 to under $20,000",Democrat,5,North Carolina,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,80,Less than HS,Black or African-American,"Less than $10,000",Democrat,4,North Carolina,"No, it will not"
medicinal,No,Roman Catholic (Catholic),Female,41,Less than HS,Hispanic or Latino,"30 to under $40,000",No preference (VOL.),5,North Carolina,"Yes, it will"
personal,Yes,Agnostic (not sure if there is a God),Male,28,Associate Degree,Black or African-American,"100 to under $150,000",Independent,1,Georgia,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,32,Postgraduate Degree,Black or African-American,"$150,000 or more",Independent,4,Florida,"Yes, it will"
medicinal,No,Nothing in particular,Male,53,Four year college,White,"10 to under $20,000",Republican,5,Florida,"No, it will not"
personal,Yes,Atheist (do not believe in God),Male,42,HS,Hispanic or Latino,"30 to under $40,000",Democrat,4,Florida,"Yes, it will"
personal,No,Roman Catholic (Catholic),Female,70,HS,White,"Less than $10,000",Democrat,2,Pennsylvania,"No, it will not"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,25,Associate Degree,White,"30 to under $40,000",Independent,2,Washington,"Yes, it will"
medicinal,No,Christian (VOL.),Female,20,Some College,White,"40 to under $50,000",Republican,3,Pennsylvania,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,33,HS,White,"Less than $10,000",Republican,2,Florida,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,84,HS Incomplete,White,"20 to under $30,000",Independent,1,New Jersey,"Yes, it will"
personal,Yes,Agnostic (not sure if there is a God),Male,25,Some College,White,"40 to under $50,000",Democrat,3,Virginia,"Yes, it will"
personal,No,Nothing in particular,Male,26,HS,White,"30 to under $40,000",Republican,2,New Mexico,"Yes, it will"
medicinal,Yes,Muslim (Islam),Male,32,Four year college,White,"50 to under $75,000",Independent,5,Florida,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Female,58,HS,White,"10 to under $20,000",Independent,5,Pennsylvania,"Yes, it will"
medicinal,No,Christian (VOL.),Female,18,HS Incomplete,White,"10 to under $20,000",Independent,3,Ohio,"Yes, it will"
personal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,24,Four year college,White,"$150,000 or more",Republican,2,Texas,"Yes, it will"
personal,Yes,Agnostic (not sure if there is a God),Male,22,Associate Degree,White,"40 to under $50,000",Democrat,5,Wisconsin,"Yes, it will"
medicinal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,40,Four year college,White,"50 to under $75,000",Independent,4,Arkansas,"Yes, it will"
notlegal,No,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,31,HS,White,"Less than $10,000",Independent,3,Missouri,"No, it will not"
medicinal,Yes,Nothing in particular,Male,63,Some College,White,"50 to under $75,000",Democrat,2,Wisconsin,"No, it will not"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,34,Some College,White,"20 to under $30,000",Republican,3,Louisiana,"Yes, it will"
medicinal,Yes,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, etc.)",Male,28,Less than HS,Black or African-American,"20 to under $30,000",Republican,3,Texas,"Yes, it will"
